INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1019')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1019')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1019')
INFO:root:('CHANGE', '1020')
INFO:root:('CHANGE', '1019')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1019')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1019')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1010')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1010')
INFO:root:('CHANGE', '1009')
INFO:root:('CHANGE', '1008')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1008')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1008')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1004')
INFO:root:('CHANGE', '1005')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1006')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1008')
INFO:root:('CHANGE', '1007')
INFO:root:('CHANGE', '1008')
INFO:root:('CHANGE', '1009')
INFO:root:('CHANGE', '1010')
INFO:root:('CHANGE', '1009')
INFO:root:('CHANGE', '1008')
INFO:root:('CHANGE', '1009')
INFO:root:('CHANGE', '1010')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1019')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1011')
INFO:root:('CHANGE', '1012')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1013')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1014')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1015')
INFO:root:('CHANGE', '1016')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1019')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1017')
INFO:root:('CHANGE', '1018')
INFO:root:('CHANGE', '1019')
INFO:root:('CHANGE', '1020')
INFO:root:('CHANGE', '1021')
INFO:root:('CHANGE', '1022')
INFO:root:('CHANGE', '1023')
INFO:root:('CHANGE', '1024')
INFO:root:('CHANGE', '1025')
INFO:root:('CHANGE', '1024')
INFO:root:('CHANGE', '1025')
INFO:root:('CHANGE', '1024')
INFO:root:('CHANGE', '1023')
INFO:root:('CHANGE', '1024')
INFO:root:('CHANGE', '1023')
INFO:root:('CHANGE', '1024')
INFO:root:('CHANGE', '1025')
INFO:root:('CHANGE', '1026')
INFO:root:('CHANGE', '1025')
INFO:root:('CHANGE', '1024')
INFO:root:('CHANGE', '1023')
INFO:root:('CHANGE', '1022')
INFO:root:('CHANGE', '1023')
INFO:root:('CHANGE', '1022')
INFO:root:('CHANGE', '1023')
INFO:root:('CHANGE', '1022')
INFO:root:('CHANGE', '1023')
INFO:root:('CHANGE', '1024')
INFO:root:('CHANGE', '1025')
INFO:root:('CHANGE', '1024')
INFO:root:('CHANGE', '1025')
INFO:root:('CHANGE', '1024')
INFO:root:('CHANGE', '1025')
INFO:root:('CHANGE', '1026')
INFO:root:('CHANGE', '1027')
INFO:root:('CHANGE', '1026')
INFO:root:('CHANGE', '1025')
INFO:root:('CHANGE', '1024')
INFO:root:('CHANGE', '1025')
INFO:root:('CHANGE', '1026')
INFO:root:('CHANGE', '1025')
INFO:root:('CHANGE', '1026')
INFO:root:('CHANGE', '1025')
INFO:root:('CHANGE', '1024')
